member_number,product_id
1,1523636
1,2312241
1,2723540
1,3171282
1,3235693
1,3378532
1,3447584
1,3640781
1,3757134
1,3758203
1,3758296
1,3758306
1,3976066
1,4186925
2,2418500
2,2545208
2,3054399
2,3171282
2,3293698
2,3447589
2,3481308
2,3640770
2,3686310
2,3889880
2,3967988
2,4087182
2,4227422
3,2708684
3,2825397
3,3018914
3,3075584
3,4352982
3,4342629
3,4281440
3,4271452
3,4263798
3,4253191
3,4230822
3,4216232
3,3835004
4,3465925
4,3465926
4,3465931
4,3075584
4,3465932
4,3498200
4,3220260
4,3185598
4,3144166
4,1023791
4,1790971
4,2093484
4,2312237
5,2115831
5,3185609
5,3235693
5,3293747
5,3447587
5,3465932
5,3498221
5,3540277
5,3591193
5,3640342
5,3712747
5,3757135
5,3992369
5,4042550
5,4094439
5,4172837
5,4175397
5,4176962
5,4182884
5,4216232
5,4217279
5,4227436
5,4227453
5,4253196
5,P023
5,1023790
5,1790968
5,2093484
5,2312234
5,2485926
7,983823
7,4186571
7,4098435
7,4135903
7,4176965
7,4299907
7,3539897
7,2823293
7,2815341
7,2815311
7,2780258
7,2778141
7,2723542
7,2697399
7,2581639
7,983823
7,658dfbfb-73c1-431c-8414-5
6,1139096
6,1201037
6,1321880
6,1623447
6,1655386
6,1967049
6,2100421
6,2100436
6,2115831
6,2175056
6,2310376
6,2322095
6,2381545
6,2545209
6,2726712
6,2775711
6,2778687
6,2815354
6,2895357
6,3019694
6,3042117
6,3052366
6,3088315
6,3163518
6,3220256
6,3255738
6,3447597
6,3468341
6,3469209
6,3475943
6,3489523
6,3505729
6,3746108
