product_id,카테고리,"브랜드 영명","브랜드 이름",이름
1023788,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","릴렉스 핏 옥스포드 셔츠 [네이비]"
1023790,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","릴렉스 핏 옥스포드 셔츠 [블랙]"
1023791,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","릴렉스 핏 옥스포드 셔츠 [옐로우]"
1023792,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","릴렉스 핏 옥스포드 셔츠 [민트]"
1063856,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","오픈 칼라 쇼트 슬리브 셔츠 [블랙]"
1063858,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","오픈 칼라 쇼트 슬리브 셔츠 [네이비]"
1063859,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","오픈 칼라 쇼트 슬리브 셔츠 [카키]"
1139096,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 미드 그레이"
1139099,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 모카 베이지"
1139100,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 팝 블루"
1139101,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 크림"
1139174,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 아보카도"
1139175,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 블랙"
1145196,"남성 청바지","DRAW FIT",드로우핏,"리에디션 뉴 스트레이트 데님 팬츠 [BLACK]"
1145197,"남성 청바지","DRAW FIT",드로우핏,"리에디션 뉴 스트레이트 데님 팬츠 [CREAM]"
1201036,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","릴렉스 핏 실키 셔츠 [라이트 그레이]"
1201037,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","릴렉스 핏 실키 셔츠 [다크 그레이]"
1201038,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","릴렉스 핏 실키 셔츠 [라이트 베이지]"
1201039,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","릴렉스 핏 실키 셔츠 [더스티 베이지]"
1201042,"남성 셔츠","MUSINSA STANDARD","무신사 스탠다드","릴렉스 핏 실키 셔츠 [다크 브라운]"
1217305,"남성 청바지","DRAW FIT",드로우핏,"리에디션 뉴 스트레이트 데님 팬츠 [ASHED MIDDLE BLUE]"
1269084,"남성 스웨터",INSILENCE,인사일런스,"소프트 울 크루넥 니트 AVOCADO"
1275833,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 러스티 그린"
1275836,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 애쉬 블루"
1275841,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 제주"
1275844,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 오션차콜"
1275853,"남성 스웨터",LMOOD,엘무드,"화란 세미오버 니트 마티니 블루"
1321879,"남성 청바지","MUSINSA STANDARD","무신사 스탠다드","슬림 크롭 데님 팬츠 [블랙]"
1321880,"남성 청바지","MUSINSA STANDARD","무신사 스탠다드","슬림 크롭 데님 팬츠 [미디엄 인디고]"
1321881,"남성 청바지","MUSINSA STANDARD","무신사 스탠다드","슬림 크롭 데님 팬츠 [라이트 인디고]"
1322219,"남성 청바지","MUSINSA STANDARD","무신사 스탠다드","레귤러 핏 데님 팬츠 [워시드 블랙]"
1322220,"남성 청바지","MUSINSA STANDARD","무신사 스탠다드","레귤러 핏 데님 팬츠 [미디엄 인디고]"
1322221,"남성 청바지","MUSINSA STANDARD","무신사 스탠다드","레귤러 핏 데님 팬츠 [라이트 인디고]"
1322222,"남성 청바지","MUSINSA STANDARD","무신사 스탠다드","레귤러 핏 데님 팬츠 [크림]"
